date,state,positive,negative,pending,hospitalized,death,total,hash,dateChecked,totalTestResults,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200401,MA,7738,44000,,682,122,51738,7dd8f004d7a1920311fbb42a98aeeaf6e0044f86,2020-04-01T20:00:00Z,51738,25,33,120,3685,1118,4803
20200331,MA,6620,40315,,562,89,46935,30fd83ed280b86d815a187d2b5ae3b16f52a519b,2020-03-31T20:00:00Z,46935,25,33,109,3274,868,4142
20200330,MA,5752,37041,,453,56,42793,fdfd43359ac7ada466f488ec008cee5fdd97cbe1,2020-03-30T20:00:00Z,42793,25,8,54,2930,797,3727
20200329,MA,4955,34111,,399,48,39066,85320d5eb34b32da6ffe44dfb937835574a335a1,2020-03-29T20:00:00Z,39066,25,4,49,3319,698,4017
20200328,MA,4257,30792,,350,44,35049,e87fa6baa76ac494588840a42ee11a2dac74d0ca,2020-03-28T20:00:00Z,35049,25,9,131,4661,1017,5678
20200327,MA,3240,26131,,219,35,29371,b9bf45fcb70c3e0014a69cf888336e4438122510,2020-03-27T20:00:00Z,29371,25,10,0,4927,823,5750
20200326,MA,2417,21204,,219,25,23621,6f7fd972eb35e3e1fe4ed40a1faf078c85925e2c,2020-03-26T20:00:00Z,23621,25,10,116,3248,579,3827
20200325,MA,1838,17956,,103,15,19794,0170634b67ae342f72677fde65854d5953d3c69c,2020-03-25T20:00:00Z,19794,25,4,9,5366,679,6045
20200324,MA,1159,12590,,94,11,13749,760c13c9ba5c284ccacd1a475a60cb24ab51fd0f,2020-03-24T20:00:00Z,13749,25,2,15,4445,382,4827
20200323,MA,777,8145,,79,9,8922,49abcea3b10bc8ae6fe74ffaf53f30c6be9a1d28,2020-03-23T20:00:00Z,8922,25,4,8,2686,131,2817
20200322,MA,646,5459,,71,5,6105,4b0741772ade94f340d69662d58b9149492cb8c6,2020-03-22T20:00:00Z,6105,25,4,10,707,121,828
20200321,MA,525,4752,,61,1,5277,e5ec8804c517c9aa8f4a643f0db5852228b938bd,2020-03-21T20:00:00Z,5277,25,0,61,1074,112,1186
20200320,MA,413,3678,,,1,4091,a2f24eb9b1d8e20dc7ee246f89066dc5c87bff1f,2020-03-20T20:00:00Z,4091,25,1,0,874,85,959
20200319,MA,328,2804,,,,3132,6dbf4008bb46d289c15299b3eed71620893f1c86,2020-03-19T20:00:00Z,3132,25,0,0,789,72,861
20200318,MA,256,2015,,,,2271,4ccadeb25504fc499760a9f57799b70d9064f54e,2020-03-18T20:00:00Z,2271,25,0,0,474,38,512
20200317,MA,218,1541,,,,1759,8aab5f8fbfb081a50f8d4929fa938f332d757be7,2020-03-17T20:00:00Z,1759,25,0,0,1189,54,1243
20200316,MA,164,352,,,,516,9ee162156f3108020c00af92b68c9df379704cb5,2020-03-16T20:00:00Z,516,25,0,0,0,26,26
20200315,MA,138,352,,,,490,f7a53e1c491788854d0cdadb1e08e8739b6e6f09,2020-03-15T20:00:00Z,490,25,0,0,0,0,0
20200314,MA,138,352,,,,490,a1cbd774232837552825f3e778568df45b40b426,2020-03-14T20:00:00Z,490,25,0,0,260,15,275
20200313,MA,123,92,,,,215,426b1970820631f04a7d65e0e18aaffc3a47090c,2020-03-13T20:00:00Z,215,25,0,0,92,28,120
20200312,MA,95,,,,,95,b532b476555282aedc45041a6c8b983037a328a7,2020-03-12T20:00:00Z,95,25,0,0,0,3,3
20200311,MA,92,,,,,92,c29aea4e5a3dbc694818e72e4f6488a8ce8e1c80,2020-03-11T20:00:00Z,92,25,0,0,0,0,0
20200310,MA,92,,,,,92,305179bade4ad898a9232a5bea2cda1efd09d822,2020-03-10T20:00:00Z,92,25,0,0,0,51,51
20200309,MA,41,,,,,41,c73084bbd151c227c3bb3cf59f1019b20a5da4b6,2020-03-09T20:00:00Z,41,25,0,0,0,28,28
20200308,MA,13,,,,,13,048e4c98ec532bc9be739798beb94bc11afc1db9,2020-03-08T20:00:00Z,13,25,0,0,0,0,0
20200307,MA,13,,,,,13,7316347dea76961aea245910dacb6c13ba562778,2020-03-07T21:00:00Z,13,25,0,0,0,5,5
20200306,MA,8,,,,,8,46146862e8713fb3dc2108570afce635ec0c91cd,2020-03-06T21:00:00Z,8,25,0,0,0,6,6
20200305,MA,2,,,,,2,424a4981f67c5b380160a21c73c426501a571b50,2020-03-05T21:00:00Z,2,25,0,0,0,0,0
20200304,MA,2,,,,,2,7b2c8c9d12741bd81d3e4dbbd1c61de70c5ee722,2020-03-04T21:00:00Z,2,25,,,,,
